star,tier,teff,teff_lo,teff_hi,ebv,ebv_lo,ebv_hi,vsini,vsini_lo,vsini_hi,logg_node,mh_node,logg_cat,mh_cat,chi2_bands,n_bands,chi2_xsl,n_xsl,ridge_K_per_001,xsl_dust_dchi2,at_boundary,clamped,teff_ngsl,teff_xsl,ebv_phot,ebv_miles,ebv_sf11,ebv_map_useful
HD164257,secondary,9400,9400,9400,0.1300,0.1275,0.1325,0,0,0,3.40,-0.10,3.50,-0.10,7.91,13,43270.8,2342,84,+0.02,,,7977,10885,0.1,,0.169,yes
HD143459,primary,9800,9800,9800,0.0800,0.0775,0.0800,40,40,40,3.60,-0.50,3.60,-0.60,8.69,13,2657.9,2342,88,-0.84,,mh,9878,10689,0.04,0.106,0.1738,yes
HD194453,primary,10400,10400,10400,0.0450,0.0425,0.0475,0,0,0,3.80,-0.10,3.90,+0.00,1.62,13,6174.9,2342,55,+0.67,,,10241,10489,-0.01,,0.0896,yes
HD167946,primary,10500,10500,10500,0.0850,0.0825,0.0850,60,60,60,4.20,-0.10,4.30,-0.10,6.85,13,1458.9,2342,69,+2.07,,,10634,10079,0.01,,0.2003,yes
HD147550,secondary,10100,10100,10100,0.1225,0.1225,0.1250,10,10,10,3.80,-0.10,3.90,-0.00,3.67,13,4240.3,2342,96,-0.01,,,10074,10044,0.125,,0.1308,yes
HD074721,primary,8500,8500,8500,0.0000,0.0000,0.0000,200,200,200,3.20,-0.50,3.30,-0.60,1.60,13,6928.4,2342,78,-0.92,ebv_floor+teff_edge+vsini_ceiling,mh,8774,9571,0.05,0.032,0.0275,yes
HD164967,secondary,9100,9100,9100,0.1000,0.0975,0.1000,80,80,80,4.00,-0.50,4.10,-0.60,3.66,13,1762.2,2342,95,+3.79,,mh,8534,9351,0.4,,0.173,yes
HD174240,primary,9600,9600,9600,0.0675,0.0650,0.0675,80,80,80,3.80,-0.30,3.80,-0.20,0.82,13,1550.6,2342,91,+2.03,,,9274,9262,0.008,,5.0029,no
HD166991,primary,8700,8700,8700,0.0450,0.0425,0.0450,150,150,150,4.00,-0.30,4.00,-0.30,1.81,13,4102.8,2342,95,+3.66,,,8497,9008,0.078,,0.2774,yes
HD117880,primary,9900,9900,9900,0.1425,0.1400,0.1450,110,110,110,3.80,-0.50,3.70,-0.60,24.90,13,4214.4,2342,88,+0.32,,mh,9426,8843,0.09,,0.0772,yes
HD128801,primary,10400,10400,10400,0.0475,0.0475,0.0500,110,110,110,3.80,-0.50,3.70,-1.90,1.67,13,2394.8,2342,58,+2.84,,mh,10123,8774,0.03,0.026,0.0234,yes
HD106304,primary,9600,9600,9600,0.0575,0.0550,0.0575,200,200,200,3.60,-0.50,3.60,-1.80,1.31,13,4405.7,2342,87,+0.06,vsini_ceiling,mh,9376,8759,0.1,,0.087,yes
